Numero;Orgao julgador;Relator;Origem;Data da publicacao;Ementa;Tipo;Classe;Decisao;Resultado
10015216120224069999;2ª Turma - PREV/SERV;KLAUS KUSCHEL;TRIBUNAL;17/12/2025;DIREITO PREVIDENCIÁRIO. APELAÇÃO CÍVEL. PENSÃO POR MORTE. UNIÃO ESTÁVEL COMPROVADA. DEPENDÊNCIA ECONÔMICA PRESUMIDA. REQUISITOS PREENCHIDOS. RECURSO PROVIDO. I. CASO EM EXAME Apelação cível interposta pela autora em face de sentença que julgou improcedente o pedido de concessão de pensão por morte em razão do falecimento de segurado do Regime Geral de Previdência Social. Sustenta a apelante ter mantido união estável com o instituidor até o óbito, comprovada por documentos e testemunhos, e...;Acórdão;AC - Apelação Cível;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 2ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, dar provimento à apelação da autora, nos termos do voto do relator, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado.;Deferido
10212227020224010000;1ª Turma - PREV/SERV;DERIVALDO DE FIGUEIREDO BEZERRA FILHO;TRIBUNAL;17/12/2025;DIREITO PREVIDENCIÁRIO. PROCESSO CIVIL. AGRAVO DE INSTRUMENTO. SUCESSÃO PROCESSUAL. FALECIMENTO DA PARTE AUTORA. DEPENDENTE HABILITADO À PENSÃO POR MORTE. LEGITIMIDADE EXCLUSIVA. RECURSO PROVIDO. I. CASO EM EXAME 1. Recurso de Agravo de Instrumento interposto em face da decisão interlocutória prolatada pelo juízo da 1ª Vara Cível, Criminal e de Execuções Penais da Comarca de Várzea da Palma, nos autos da ação de n. 0258112-73.2008.8.13.0708. A decisão agravada determinou a habilitação dos...;Acórdão;AI - Agravo de Instrumento;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 1ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, DAR PROVIMENTO do Agravo de Instrumento, para reconhecer a legitimidade exclusiva do agravante - Manoel Pereira Rodrigues -, na condição de cônjuge e dependente previdenciário, para figurar no polo ativo da demanda, nos termos do voto do relator, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte...;Deferido
60102131720244060000;1ª Turma - PREV/SERV;DERIVALDO DE FIGUEIREDO BEZERRA FILHO;TRIBUNAL;17/12/2025;DIREITO PROCESSUAL CIVIL E DIREITO PREVIDENCIÁRIO. AGRAVO DE INSTRUMENTO. SUCESSÃO PROCESSUAL PREVIDENCIÁRIA. DESNECESSIDADE DE INVENTÁRIO. RECURSO PROVIDO. II. QUESTÃO EM DISCUSSÃO A questão em discussão consiste em definir se os dependentes da segurada falecida podem ser habilitados diretamente nos autos da ação previdenciária, sem a necessidade de abertura de inventário ou arrolamento, para fins de recebimento de valores não pagos em vida. III. RAZÕES DE DECIDIR Nos termos do art. 112 da...;Acórdão;AI - Agravo de Instrumento;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 1ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, DAR PROVIMENTO ao Agravo de Instrumento para reformar a decisão agravada e autorizar a habilitação dos sucessores, sem necessidade de abertura de inventário ou arrolamento, nos termos do voto do relator, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado.;Deferido
10300048320204013800;1ª Turma - PREV/SERV;DERIVALDO DE FIGUEIREDO BEZERRA FILHO;TRIBUNAL;17/12/2025;DIREITO PREVIDENCIÁRIO. APELAÇÃO CÍVEL. REVISÃO DE BENEFÍCIO. TETOS DAS EMENDAS CONSTITUCIONAIS Nº 20/1998 E Nº 41/2003. BENEFÍCIO CONCEDIDO NO PERÍODO DO BURACO NEGRO. INAPLICABILIDADE DO TEMA 1057. PRESCRIÇÃO QUINQUENAL. RECURSO DESPROVIDO. I. CASO EM EXAME 1. Apelação cível interposta pelo Instituto Nacional do Seguro Social - INSS contra sentença que julgou procedente o pedido de revisão de benefício previdenciário, determinando a readequação da renda mensal do benefício da parte autora...;Acórdão;AC - Apelação Cível;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 1ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, negar provimento à apelação do INSS, nos termos do voto do relator. Majoro os honorários advocatícios para 12% (doze por cento) sobre o valor atualizado da condenação até a data da sentença, nos termos do art. 85, § 11, do CPC, c/c Súmula 111 do STJ, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte...;Indeferido
10238876420194010000;1ª Turma - PREV/SERV;DERIVALDO DE FIGUEIREDO BEZERRA FILHO;TRIBUNAL;17/12/2025;DIREITO PREVIDENCIÁRIO. AGRAVO DE INSTRUMENTO. TUTELA DE URGÊNCIA. PENSÃO POR MORTE. UNIÃO ESTÁVEL. AUSÊNCIA DE PROBABILIDADE DO DIREITO. REVOGAÇÃO DA ANTECIPAÇÃO DE TUTELA. RECURSO PROVIDO. I. CASO EM EXAME 1. Agravo de instrumento interposto pelo Instituto Nacional do Seguro Social contra decisão que concedeu tutela de urgência para antecipar o benefício de pensão por morte em favor da parte autora. A decisão agravada entendeu estarem presentes elementos suficientes para demonstrar a união...;Acórdão;AI - Agravo de Instrumento;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 1ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, dar provimento ao agravo de instrumento interposto, revogando a tutela antecipada concedida, nos termos do voto do relator, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado.;Deferido
10012664320204013814;1ª Turma - PREV/SERV;DERIVALDO DE FIGUEIREDO BEZERRA FILHO;TRIBUNAL;17/12/2025;DIREITO PREVIDENCIÁRIO. APELAÇÃO CÍVEL. REVISÃO DE BENEFÍCIO. TETOS DAS EMENDAS CONSTITUCIONAIS Nº 20/1998 E Nº 41/2003. PENSÃO POR MORTE DECORRENTE DE BENEFÍCIO CONCEDIDO NO PERÍODO DO BURACO NEGRO. LEGITIMIDADE ATIVA DA PENSIONISTA. PRESCRIÇÃO QUINQUENAL. MULTA POR DESCUMPRIMENTO DE ORDEM JUDICIAL. RECURSO PARCIALMENTE PROVIDO. I. CASO EM EXAME 1. Apelação cível interposta pelo Instituto Nacional do Seguro Social - INSS contra sentença que julgou procedente o pedido de revisão do benefício...;Acórdão;AC - Apelação Cível;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 1ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, dar parcial provimento à apelação do INSS apenas para afastar a multa aplicada, nos termos do voto do relator, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado.;Parcialmente deferido
10012132520214013815;1ª Turma - PREV/SERV;DERIVALDO DE FIGUEIREDO BEZERRA FILHO;TRIBUNAL;17/12/2025;"DIREITO PREVIDENCIÁRIO. APELAÇÃO CÍVEL. REVISÃO DE BENEFÍCIO PREVIDENCIÁRIO. APLICAÇÃO DOS NOVOS TETOS CONSTITUCIONAIS (EC Nº 20/1998 E EC Nº 41/2003). BENEFÍCIO CONCEDIDO NO PERÍODO DO ""BURACO NEGRO"". COMPATIBILIDADE COM A TESE FIRMADA NO TEMA 76 DO STF. MANUTENÇÃO DOS CÁLCULOS DO SECAJ. RECURSO DESPROVIDO.. I. CASO EM EXAME 1. Apelação cível interposta pelo Instituto Nacional do Seguro Social - INSS contra sentença que julgou procedente o pedido, determinando que a Autarquia revise a renda...";Acórdão;AC - Apelação Cível;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 1ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, negar provimento à apelação do INSS, nos termos do voto do relator. Majoro os honorários advocatícios para 12% (doze por cento) sobre o valor atualizado da condenação até a data da sentença, nos termos do art. 85, § 11, do CPC, c/c Súmula 111 do STJ. Indefiro o pedido de atribuição de sigilo aos presentes autos, nos termos do...;Indeferido
60096866520244060000;1ª Turma - PREV/SERV;DERIVALDO DE FIGUEIREDO BEZERRA FILHO;TRIBUNAL;17/12/2025;DIREITO PREVIDENCIÁRIO. AGRAVO DE INSTRUMENTO. AÇÃO DE CUMPRIMENTO DE SENTENÇA. REVISÃO DE PENSÃO POR MORTE. IMPOSSIBILIDADE DE INCLUSÃO DE BENEFICIÁRIOS NÃO PARTICIPANTES DA AÇÃO DE CONHECIMENTO. RESPEITO À COISA JULGADA. I. Caso em exame 1. Agravo de Instrumento interposto por F. A. D. S. contra a decisão proferida pelo juízo de origem, nos autos da ação de cumprimento de sentença n. 1006630-72.2019.4.01.3800, que determinou a exclusão dos filhos maiores de 21 (vinte e um) anos da...;Acórdão;AI - Agravo de Instrumento;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 1ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, negar provimento ao agravo interposto por F. A. D. S., nos termos do voto do relator, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado.;Indeferido
10042322120204013800;1ª Turma - PREV/SERV;DERIVALDO DE FIGUEIREDO BEZERRA FILHO;TRIBUNAL;17/12/2025;DIREITO PREVIDENCIÁRIO E PROCESSUAL CIVIL. APELAÇÃO CÍVEL. REVISÃO DE BENEFÍCIO PREVIDENCIÁRIO. TETOS DAS EMENDAS CONSTITUCIONAIS Nº 20/1998 E Nº 41/2003. BENEFÍCIO CONCEDIDO NO PERÍODO DE 05/10/1988 A 05/04/1991. BURACO NEGRO. INAPLICABILIDADE DO PRAZO DECADENCIAL. CÁLCULOS JUDICIAIS REALIZADOS PELA CONTADORIA JUDICIAL. PRESUNÇÃO DE CORREÇÃO. RECURSO DESPROVIDO. I. CASO EM EXAME 1. Apelação cível interposta pelo Instituto Nacional do Seguro Social - INSS contra sentença que julgou...;Acórdão;AC - Apelação Cível;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 1ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, negar provimento à apelação do INSS, nos termos do voto do relator. Majoro os honorários advocatícios para 12% (doze por cento) sobre o valor atualizado da condenação até a data da sentença, nos termos do art. 85, § 11, do CPC, c/c Súmula 111 do STJ, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte...;Indeferido
60062712320244063800;1ª Turma - PREV/SERV;DERIVALDO DE FIGUEIREDO BEZERRA FILHO;TRIBUNAL;17/12/2025;DIREITO PREVIDENCIÁRIO. APELAÇÃO CÍVEL. PENSÃO POR MORTE DERIVADA DE APOSENTADORIA JÁ REVISADA COM BASE NOS TETOS CONSTITUCIONAIS DAS EC Nº 20/1998 E Nº 41/2003. REDISCUSSÃO DE MATÉRIA ALCANÇADA PELA COISA JULGADA. RECURSO DESPROVIDO. I. CASO EM EXAME 1. Apelação cível interposta pelo Instituto Nacional do Seguro Social - INSS contra sentença que julgou procedente o pedido da parte autora, determinando que a Autarquia revise o benefício previdenciário de pensão por morte (NB: 164.245.224-3,...;Acórdão;AC - Apelação Cível;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 1ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, negar provimento à apelação do INSS, nos termos do voto do relator. Majoro os honorários advocatícios para 12% (doze por cento) sobre o valor atualizado da condenação até a data da sentença, nos termos do art. 85, § 11, do CPC, c/c Súmula 111 do STJ, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte...;Indeferido
10068532520194013800;1ª Turma - PREV/SERV;DERIVALDO DE FIGUEIREDO BEZERRA FILHO;TRIBUNAL;17/12/2025;DIREITO PREVIDENCIÁRIO. APELAÇÃO CÍVEL. REVISÃO DE BENEFÍCIO PREVIDENCIÁRIO. PENSÃO POR MORTE. LEGITIMIDADE ATIVA DA PENSIONISTA. DIFERENÇAS DECORRENTES DO BENEFÍCIO ORIGINÁRIO. RECURSO PROVIDO. I. CASO EM EXAME 1. Apelação cível interposta pela parte autora contra sentença que julgou procedente o pedido de revisão da renda mensal do benefício originário, com base nos novos tetos instituídos pelas Emendas Constitucionais nº 20/1998 e nº 41/2003, restringindo, porém, o pagamento das...;Acórdão;AC - Apelação Cível;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 1ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, dar provimento à apelação da autora, para determinar o pagamento das diferenças vencidas, inclusive do benefício originário, observada a prescrição quinquenal, nos termos do voto do relator, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado.;Deferido
10001752520184013801;1ª Turma - PREV/SERV;DERIVALDO DE FIGUEIREDO BEZERRA FILHO;TRIBUNAL;17/12/2025;DIREITO PREVIDENCIÁRIO. APELAÇÃO CÍVEL. PENSÃO POR MORTE. LEGITIMIDADE DA PENSIONISTA PARA PLEITEAR REVISÃO DO BENEFÍCIO ORIGINÁRIO. INTERESSE DE AGIR. PRAZO DECADENCIAL. TETOS DAS EMENDAS CONSTITUCIONAIS Nº 20/1998 E Nº 41/2003. BENEFÍCIO CONCEDIDO NO PERÍODO DO BURACO NEGRO. LIMITAÇÃO IDENTIFICADA. REVISÃO CABÍVEL. RECURSO DESPROVIDO. I. CASO EM EXAME 1. Apelação cível interposta pelo Instituto Nacional do Seguro Social - INSS contra sentença que julgou procedente o pedido de revisão do...;Acórdão;AC - Apelação Cível;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 1ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, negar provimento à apelação do INSS, nos termos do voto do relator. Indefiro o pedido de atribuição de sigilo aos presentes autos, nos termos do relatório, votos e notas de julgamento que ficam fazendo parte integrante do presente julgado.;Indeferido
60126170720254060000;1ª Turma - PREV/SERV;DERIVALDO DE FIGUEIREDO BEZERRA FILHO;TRIBUNAL;17/12/2025;;DECISAO MONOCRATICA;AI - Agravo de Instrumento;Trata-se de agravo de instrumento interposto pela União Federal contra decisão liminar proferida nos autos do Mandado de Segurança nº 6002115-74.2025.4.06.3826. A decisão agravada, emanada pelo juízo da Vara Federal de Poços de Caldas/MG, deferiu em parte a medida liminar postulada pela impetrante, Sra. V. L. N. M., para determinar à autoridade coatora que se abstivesse de suspender o pagamento da pensão por morte vinculada ao Regime Próprio de Previdência Social (RPPS) e de exigir da...;Parcialmente deferido
60096835220254069999;1ª Turma - PREV/SERV;EDILSON VITORELLI DINIZ LIMA;TRIBUNAL;16/12/2025;PROCESSUAL CIVIL. PREVIDENCIÁRIO. BENEFÍCIO DE PENSÃO POR MORTE. PROVA DE UNIÃO ESTÁVEL. APLICABILIDADE DA EXIGÊNCIA DE INÍCIO DE PROVA MATERIAL PRODUZIDA DENTRO DE 24 MESES DO ÓBITO. CABIMENTO A PARTIR DA LEI Nº 13.846/19. UNIÃO ESTÁVEL COMPROVADA. AUSÊNCIA DE ELEMENTOS CONCRETOS QUE INFIRMEM A PROVA MATERIAL E TESTEMUNHAL E OS FUNDAMENTOS DA SENTENÇA. BENEFÍCIO DEVIDO. APELAÇÃO DESPROVIDA. 1. O direito à percepção do benefício de pensão por morte rege-se pela legislação previdenciária...;Acórdão;AC - Apelação Cível;Vistos e relatados estes autos em que são partes as acima indicadas, a Egrégia 1ª Turma - Prev/Serv do Tribunal Regional Federal da 6ª Região decidiu, por unanimidade, NEGAR PROVIMENTO à apelação do INSS e MAJORAR os honorários advocatícios, nos termos do voto do relator. Após o trânsito em julgado, promova-se a baixa dos autos, independentemente de nova intimação das partes. Compete ao Juízo a quo informar às partes o retorno dos autos à origem, nos termos do relatório, votos e notas de...;Indeferido
